"Model","MAE","RMSE","MAPE"
"ARIMA",8525.04363401279,11001.1337792137,2.34159711520959
"Random Forest",9632.79626975311,12133.6308451315,2.63341168597074
"Prophet",11619.3245351889,14175.8320008674,3.23118890767952
"XGBoost",16779.6579861111,18913.5047799946,4.70424436433183
"SVR",13097.4085327271,20238.632057661,3.46578769946425
"ETS",24854.5326839673,27651.7723219529,6.93970336775089
